,HvC.beta,RvC.beta,HvR.beta,HvC.pval,RvC.pval,HvR.pval,HvC.FDR,RvC.FDR,HvR.FDR,HvC.FWER,RvC.FWER,HvR.FWER
ENSG00000000419,0.192164113268536,-0.234590184492545,-0.319961755838983,0.338676916710727,0.216470604397959,0.203845300286247,0.494304680706935,0.357795700165757,0.471482089697545,1,1,1
ENSG00000000457,0.150515494895282,-0.533542749870697,-0.687284582261409,0.31037339907037,0.000377784185583017,0.000418382174136055,0.482743547186489,0.0179497581718631,0.0187691858762988,1,1,1
ENSG00000000938,0.198414639451297,-0.194725989852075,-0.113113194368015,0.513366678698676,0.410555137890849,0.692328572342863,0.580614299807785,0.459588857091244,0.754471145435284,1,1,1
ENSG00000001084,0.00307838125634168,0.459151916528165,0.0657662596774163,0.989097533701229,0.0467860858160997,0.725488428725305,0.713506367247354,0.174976080709752,0.76407630972553,1,1,1
ENSG00000001497,0.00693859369631421,0.37535112544332,0.343540087297481,0.964444238776134,0.0421967917851994,0.0278069524147796,0.708485795590505,0.167040568704756,0.164499851510363,1,1,1
ENSG00000002549,-0.0635380394620885,-0.17818059028672,-0.182047943477292,0.677475357893699,0.217070730807533,0.294769767960951,0.634393398218138,0.357881310164417,0.55140774815054,1,1,1
ENSG00000002822,0.175989421287249,-0.695770792181142,-0.368461048013773,0.205937543890448,0.00176564336339592,0.128799724416837,0.410991139713136,0.0358342887998757,0.36416776322691,1,1,1
ENSG00000002834,-0.129148786469876,0.144942222789843,0.294358421825316,0.326113737682052,0.169356520368896,0.0341855785772928,0.487877759276184,0.322736524141375,0.182568197678633,1,1,1
ENSG00000003056,-0.65736558580153,-0.050286339161693,0.0115519449397581,0.00153458757051471,0.713827475731289,0.926814855422323,0.0572463202802298,0.54905275952954,0.80513220843271,1,1,1
ENSG00000003509,0.263376095884558,-0.0677463539671444,-0.37521481257279,0.206861442844967,0.620396888824045,0.100749836806876,0.411299822586367,0.526667596081748,0.320172814899262,1,1,1
ENSG00000003756,0.192914684890452,-0.0971890864869572,-0.288472164217317,0.193777794621626,0.610116190727912,0.153175350515181,0.403377288914558,0.525001972642038,0.40172502536933,1,1,1
