ID,mapped count,proportion>Q30,species
C18358,7393603,0.971257721032628,chimpanzee
C18359,15478039,0.970300953499342,chimpanzee
C3659,20284521,0.971741358842045,chimpanzee
CPt91,10079028,0.969745396083829,chimpanzee
R181-96,12599203,0.978838423351064,rhesus macaque
R249-97,12040159,0.974412048877428,rhesus macaque
R265-95,12063859,0.978834964831734,rhesus macaque
R290-96,10491523,0.977339133698701,rhesus macaque
H19127,8984640,0.977339103180539,human
H19137,9754058,0.977390845943299,human
H19144,12835528,0.973640897359267,human
H19147,14949479,0.977126293163795,human
