SubCellLoc,NO. of genes associated,HvC.cor,RvC.cor,HvR.cor,HvC.p.value,RvC.p.value,HvR.p.value
Cytoplasm,1393|1773,-,+,+,3.53e-01,6.12e-01,9.61e-01
Endoplasmic,263|2903,-,+,+,1.55e-01,2.04e-01,7.06e-01
Golgi,222|2944,-,-,-,2.16e-03,2.28e-01,1.55e-01
cytosol,136|3030,-,-,-,1.96e-01,1.50e-02,1.87e-01
Nucleus,1239|1927,+,+,+,1.32e-05,3.30e-01,5.34e-01
Lysosome,64|3102,-,-,-,2.59e-01,3.19e-01,7.65e-01
Mitochondrion,426|2740,-,-,-,7.03e-03,2.30e-04,7.20e-02
Peroxisome,26|3140,-,-,-,5.92e-01,4.41e-01,9.96e-01
Membrane,232|2934,-,-,+,4.24e-02,7.37e-01,2.88e-01
endosome,112|3054,-,-,-,2.01e-02,7.26e-02,1.06e-02
Secreted,55|3111,-,-,+,6.67e-01,5.81e-01,1.61e-01
P-body,24|3142,-,+,+,9.73e-01,2.46e-01,4.84e-01
