,C18358,C18359,C3659,CPt91,H19127,H19137,H19144,H19147
ENSG00000071082,15,1,1,22,1146,1503,1552,2505
ENSG00000100316,20,46,43,19,1758,2541,2264,3764
ENSG00000170889,0,25,40,88,1324,1805,1414,2733
ENSG00000171858,10,15,22,43,872,1406,1630,2330
ENSG00000204822,0,13,19,11,369,531,626,613
ENSG00000189043,35,213,76,1,940,656,1234,1232
ENSG00000132507,43,246,207,141,2875,3083,4023,4681
ENSG00000122565,22,12,26,0,117,265,378,416
ENSG00000037241,114,271,479,203,8,14,28,13
ENSG00000108518,525,858,1475,1612,87,30,71,77
