Gene	Length
YWHAB	246
YWHAE	255
YWHAH	246
YWHAG	247
SFN	248
YWHAQ	245
YWHAZ	245
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
ACCS	501
ACCSL	568
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-A	365
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	362
HLA-B	363
HLA-B	362
HLA-B	362
HLA-B	362
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	366
HLA-C	372
HLA-C	366
PPP2R5A	486
PPP2R5B	497
PPP2R5D	602
PPP2R5E	467
PPP2R5C	524
PPP2R1A	589
PPP2R1B	601
PPP2R2A	447
PPP2R2B	443
PPP2R2D	453
PPP2R2C	447
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HLA-DRB1	266
HSD3B1	373
HSD3B2	372
HSD3B7	369
SH3BP1	701
SH3BP2	561
SH3BP5L	393
SH3BP5	455
HAAO	286
HIBADH	336
MPG	298
EPB41	864
EIF4EBP1	118
EIF4EBP2	120
EIF4EBP3	100
EIF4ENIF1	985
SLC3A2	630
HTR1A	422
HTR1B	390
HTR1D	377
HTR1E	365
HTR1F	366
HTR2A	471
HTR2B	481
HTR2C	458
HTR3A	478
HTR3B	441
HTR3C	447
HTR3D	454
HTR3E	456
HTR4	388
HTR5A	357
HTR6	440
HTR7	479
NT5C1A	368
NT5C1B	610
NT5C3A	336
NT5C3B	300
NT5C2	561
NT5E	574
MP68	58
PGD	483
PGLS	258
SCG5	212
NUDT1	197
ARL14EPL	152
ALDH16A1	802
ATG16L1	607
ATG16L2	619
ORM1	201
ORM2	201
SERPINA2	420
SERPINA1	418
A1BG	495
A1CF	594
ANKRD20A1	823
ANKRD20A12P	263
ANKRD20A2	823
ANKRD20A3	823
ANKRD20A4	823
ANKRD20A5P	165
ANKRD36BP1	119
SERPINF2	491
LRG1	347
A2M	1474
A2ML1	1454
ANKRD30BL	258
ADAMTSL4-AS1	129
A4GALT	353
A4GNT	340
APP	770
ATXN7L3B	97
ADORA1	326
ADORA2A	412
ADORA2B	332
ADORA3	266
ADORA3	318
SLC7A10	523
AADAC	399
AAAS	546
SLC1A5	541
AACS	672
SERPINA3	423
AADAT	425
AAED1	226
AAGAB	315
AAK1	961
PRKAB1	270
PRKAB2	272
PRKAG1	331
PRKAG2	569
PRKAG3	489
AAMDC	122
AAMP	434
PRKAA1	559
PRKAA2	552
AAR2	384
AARD	155
ADORA2A-AS1	159
AARSD1	412
AASS	926
GOT1L1	421
GOT1	413
AATF	560
GOT2	430
ABHD12B	362
ABHD17A	310
ABHD17B	288
ABHD17C	329
APBB1IP	666
APOBEC3A	199
APOBEC3B	382
APOBEC3C	190
APOBEC3D	386
APOBEC3F	373
APOBEC3G	384
APOBEC3H	200
ABCA1	2261
ABCA2	2435
ABCA3	1704
ABCA4	2273
ABCA5	1642
ABCA6	1617
ABCA7	2146
ABCA8	1581
ABCA9	1624
ABCA10	1543
ABCA11P	156
ABCA12	2595
ABCA13	5058
ABCB5	1257
ABCB6	842
ABCB7	752
ABCB8	735
ABCB9	766
