ENSG,GM18486,GM18498,GM18499,GM18501,GM18502,GM18504,GM18505,GM18507,GM18508,GM18510,GM18511,GM18516,GM18517,GM18519,GM18520,GM18522,GM18523,GM18852,GM18855,GM18858,GM18861,GM18862,GM18870,GM18871,GM18907,GM18909,GM18912,GM18913,GM18916,GM19092,GM19093,GM19098,GM19099,GM19101,GM19102,GM19108,GM19114,GM19116,GM19119,GM19127,GM19128,GM19130,GM19131,GM19137,GM19138,GM19140,GM19143,GM19144,GM19147,GM19152,GM19153,GM19160,GM19172,GM19192,GM19193,GM19200,GM19203,GM19204,GM19207,GM19209,GM19222,GM19257,txStart,txEnd,chr
ENSG00000000419,-0.152938934,0.112534369,-0.026651304,0.242548711,-0.187888837,-0.349559681,0.334760198,0.057334608,0.146599805,-0.103321993,-0.17956193,0.085957996,0.091181096,-0.054968572,-0.427172118,-0.472674283,-0.129662494,0.080904652,-0.247385639,0.073625356,-0.191583614,0.211285495,-0.006265388,0.632452904,0.005730764,-0.343190227,-0.370612927,-0.132016396,0.211112762,0.182936555,0.096073911,-0.055273018,-0.27246027,-0.000566414,0.008699219,0.245791205,0.154592106,0.209304592,0.022031909,-0.023423824,0.169723445,0.120390933,0.062227905,-0.164579316,-0.010540135,-0.67925152,-0.022397566,0.348017347,0.076795936,0.072019567,0.022578195,-0.052259494,0.173687865,0.04972166,0.120151137,-0.126637294,0.265958356,0.403955769,-0.058586697,0.281790068,-0.197875908,-0.130814925,48984810,49008499,chr20
ENSG00000000457,0.791652431,NA,0.223369781,0.519651886,0.315270318,0.183589149,0.150964148,0.448134378,-0.512634575,-0.422163543,-0.25511368,0.714714801,0.480593621,NA,0.488497302,-0.313828993,-0.463073349,-0.523384113,-0.512389677,-0.272013494,-0.493686949,-0.222451235,-0.357053438,0.360712179,NA,-0.180657577,0.468249938,-0.177729241,-0.541094618,0.052714675,-0.010703199,-0.484070868,-0.212119985,-0.183239039,-0.296604136,-0.28963344,-0.182665384,-0.186623888,-0.218342391,-0.176119639,-0.924444895,0.001113683,-0.030255105,NA,0.07640106,0.409067395,-0.057850526,0.055436657,-0.713579104,-0.578332023,-0.1136276,0.117461286,-0.15284952,-0.440205895,0.750732147,0.116232036,-0.107042749,0.039065664,-0.704786747,NA,-0.172065298,-0.597988185,168088838,168129670,chr1
ENSG00000000938,-2.005159194,-1.938036376,-1.683624274,-0.008058789,-0.937845942,-0.923066376,-1.304435842,0.243792128,-0.970566115,-1.224468003,-0.47916119,1.398201706,-1.178611969,NA,0.219817462,0.040034872,0.530782641,0.443388347,-0.575883777,-0.176215854,-1.001932634,-0.031191685,-0.848803238,0.162730874,-0.145060686,-0.879866777,0.052686668,-0.597926041,NA,-0.670344825,-0.214260309,0.312517857,-0.37536213,-0.444694324,-0.283472571,-0.13214793,-0.637973639,-0.212011388,-0.700069816,0.366212581,0.113333035,-2.757292117,0.315559465,-0.031424166,-1.39727513,-1.008311345,-0.330614046,-1.822429083,0.398711451,-0.567212243,-0.08885646,-1.325413154,-0.22824727,0.06518384,0.320327117,0.161374556,-1.805762224,-0.343803491,-0.228933022,-1.491935832,-0.414705933,-1.144537885,27811389,27834314,chr1
ENSG00000001084,-2.120696989,-1.606022981,NA,-1.261089849,NA,NA,-1.180439557,-0.483953022,NA,-1.200069473,-1.35390639,-0.187342564,-1.228592189,-1.546784572,-0.838022508,NA,-1.201069609,NA,-1.680512709,-1.357563129,NA,NA,NA,NA,-1.652120756,NA,-1.925472002,-1.256585461,NA,-1.455361525,NA,NA,-1.37928906,-1.144754654,NA,-0.75450946,-1.566459119,-1.819803468,NA,-0.916552999,-1.328249205,NA,-1.645912895,-1.082219591,-1.42880891,-0.869807435,NA,NA,-1.258309214,-1.387518423,NA,-1.331363029,-1.616960705,-1.052468665,NA,NA,-1.323308684,-1.332167311,-0.879335117,-1.250224472,-1.360111543,-0.817248285,53470097,53517790,chr6
ENSG00000001630,0.374041021,-0.734608491,0.062590511,-0.643505029,0.039956708,NA,-0.555021707,NA,NA,NA,NA,-1.009773509,NA,0.223404508,-0.428646868,NA,-0.144490889,-0.754640033,-0.321470957,NA,0.201388106,-0.991794755,-0.626633458,NA,-1.047563646,-0.335947082,NA,-0.482614231,NA,-0.341852325,-0.108933349,-0.388592488,-0.09364355,-1.233220624,NA,-0.68669023,-0.462148144,-0.754160188,-0.537565776,-1.011485539,NA,-0.421701727,-0.292803435,-1.147531436,-1.354127909,-0.561643705,NA,NA,-0.950486519,-0.590991033,-0.670369265,-0.290589254,-0.655565715,-0.93674267,-0.774535343,NA,-0.502626834,-0.565274761,-1.214427107,NA,NA,-0.604081555,91579408,91601946,chr7
ENSG00000002549,0.162644501,0.166780834,-0.248223629,0.216211191,-0.452464372,-0.698103371,-0.287460902,0.126835743,0.29625088,0.079110767,-0.15233624,0.165682031,-0.105656979,-0.873072242,0.375671262,-0.098110483,-0.034199314,0.038378557,-0.220911064,0.367439811,0.201920986,-0.262257745,-0.048135338,0.367600789,0.270571364,0.049778233,0.432419068,0.130427639,0.007292477,0.264983555,0.025109726,0.192423582,0.06933743,0.140446416,-0.411432001,0.35437256,-0.321093269,-0.345567353,0.019767764,-0.014124079,-0.97810827,-0.316872257,0.105008385,-0.140678556,0.011665915,-0.380442205,-0.414646366,0.382526772,0.138254641,-0.032515653,0.065633745,-0.226973214,-0.387930805,0.35119398,-0.129649683,0.088216176,-0.322003304,-0.393336991,0.190913423,-0.093254472,0.048614057,0.326961715,17188024,17218688,chr4
ENSG00000002822,0.371180116,-0.072120551,0.217149201,-0.059379574,-0.019190717,0.186963309,0.052746408,0.156192638,0.038653235,0.065408627,-0.06514416,0.377675001,0.182664691,0.231312168,0.006067642,0.075341352,0.076001231,0.273653597,0.139747201,0.022432911,0.094667556,0.268562515,-0.066419243,-0.720364751,0.075429284,-0.041669237,-0.089199462,0.230768089,0.025369902,0.000962995,-0.030527989,-0.161680693,-0.13465453,-0.053847189,0.046379259,-0.051296715,-0.175028144,0.126416412,0.191303844,-0.081060494,0.078760805,0.082837073,0.05319609,0.096520429,-0.07433798,0.311103385,0.046448049,-0.013208093,-0.027329879,0.069255072,-0.138608815,0.099822456,0.38442536,0.10829146,0.025522227,-0.049751524,-0.101060989,0.315048329,-0.039170067,-0.068833572,0.225046507,0.11933775,1821955,2239404,chr7
ENSG00000002834,-0.192580339,-0.448400536,-0.278121539,-0.091346204,-0.303578272,-0.323738171,-0.044347202,0.179021718,-0.301707145,-0.431392103,-0.17970443,-0.409818039,-0.270538009,-0.442771232,-0.072426438,-0.652246043,0.142020211,-0.207730313,-0.235364279,-0.010554914,-0.252147474,-0.15821373,-0.197226948,0.002938809,-0.181316111,-0.176370677,-0.229813992,0.119357699,0.140764492,-0.031675165,-0.148916784,-0.276903443,-0.08517991,-0.185966829,0.056580619,-0.22482385,-0.146204829,-0.334694158,0.010916979,-0.077585424,0.071969745,-0.105069147,0.02011621,-0.023303571,0.14386153,-0.68271847,0.034330489,-0.132403933,-0.187034979,-0.065475548,0.142193605,-0.282077584,-0.2004237,-0.1496052,0.204620592,0.118406476,0.118724666,-0.172281131,-0.186106207,0.218068598,-0.087672933,-0.276157255,34279893,34331541,chr17
ENSG00000002919,0.336221701,0.406928414,-0.631588099,0.581578931,0.328148758,0.892482629,0.131203538,0.146334078,0.58715279,1.180885037,0.45483496,0.568072011,0.808196571,0.519237158,0.517235907,1.194331252,1.400766651,0.680813092,-0.143200129,0.746758786,0.073142356,0.948479975,-0.083261073,1.018496909,0.444850354,-0.381066947,0.866469968,0.908868419,0.564676332,0.05523831,0.230686511,0.702155042,0.2687292,0.815210656,1.681059319,0.53092216,0.984602891,0.291225252,0.640502094,0.174090106,0.877539835,-0.056748467,-0.122470715,0.655558194,0.776809685,0.053434185,1.139673424,0.036519147,0.134129696,0.588342647,0.457923845,0.537525996,1.574885085,0.51048892,0.437049637,0.987279136,-0.351258184,0.255785789,-0.041115117,0.181242288,0.877610747,0.89340135,43539918,43555104,chr17
ENSG00000003056,0.227940866,0.363863419,-0.169304929,0.210362756,0.020744888,0.249418714,0.358826008,0.348476773,0.1567243,0.313089797,0.37867872,0.221431421,0.144865336,0.111068128,0.205442297,0.176405892,0.116765091,0.249475147,0.065408726,0.016563826,0.323328341,0.258704495,0.288880082,1.136448794,-0.037493231,0.103167823,-0.039033252,0.298980329,0.477786372,0.232504805,0.446338546,0.087057217,0.22786642,0.241555206,0.750710319,0.327359105,0.228600766,0.535436332,0.196363319,0.474428871,1.06770569,0.272192343,0.0751348,0.304918294,0.267734965,-0.159916335,0.731512464,0.185591697,0.075205376,0.325336557,0.438146515,0.214185846,0.2746134,0.021908915,0.978607607,0.291063586,0.528596086,0.475630264,0.350327193,0.346938278,0.315027787,0.349583185,8984242,8993519,chr12
